metric_name,cell_line,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
foreground_psnr,U2-OS,RandomGamma,18,-0.09040799404043344,-0.09031772239104674,-0.5222499038908295,0.02163424383595236,0.021664652067034718,3.040823108235724e-05,3.1080637165369606e-05,3.108160320140123e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,19,-0.09487424023661334,-0.09487088638172878,-0.03462001548767729,0.02394233183958383,0.023942465775670052,1.3393608622180864e-07,1.372214886383087e-07,1.3722150746804825e-07,7896,15792
foreground_psnr,U2-OS,RandomGamma,20,-0.08580611761011774,-0.085884446759618,1.218578244582405,0.019130307573040684,0.01929415918357069,0.00016385161053000807,0.00016704727630496068,0.00016707518575967997,7896,15792
foreground_psnr,U2-OS,RandomGamma,21,-0.09422654204529121,-0.09426597120517283,0.4294985030396824,0.021747105235972564,0.021767094618912464,1.9989382939900047e-05,2.0433758026059154e-05,2.0434175573058277e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,22,-0.1002655633919831,-0.1002674352777619,0.5740123600529774,0.0256450351639117,0.025681448277862118,3.6413113950417575e-05,3.737150757634124e-05,3.737290425811587e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,23,-0.08752960700856184,-0.08750653038415229,1.4111941183206291,0.01965066990234332,0.019869627674896306,0.00021895777255298565,0.0002233466845243566,0.00022339657940970183,7896,15792
foreground_psnr,U2-OS,RandomGamma,24,-0.09660220215968625,-0.09658641313152655,-0.47652784242227453,0.024102243432093662,0.024127465142970816,2.5221710877154635e-05,2.5844624303529302e-05,2.5845292265397916e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,25,-0.08855476408172132,-0.0885431085258764,1.882127416065658,0.0200254589993335,0.02042004110549378,0.00039458210616027944,0.00040264526235280135,0.0004028074508645324,7896,15792
foreground_psnr,U2-OS,RandomGamma,26,-0.0924446112189055,-0.09250410743936868,-2.7941665349504765,0.022977600555939892,0.02385790584967229,0.0008803052937323974,0.0009010083026072932,0.0009018208506812213,7896,15792
foreground_psnr,U2-OS,RandomGamma,27,-0.08471805484524797,-0.08476245226275128,-1.4605701212904116,0.0186218471673546,0.01886300037077071,0.00024115320341611124,0.00024572913379011725,0.0002457895314387724,7896,15792
foreground_psnr,U2-OS,RandomGamma,28,-0.08989533838979227,-0.0899097063922342,0.18230019876347908,0.020665229676749552,0.020668909858480355,3.6801817308029783e-06,3.757838322832401e-06,3.7578524442343278e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,29,-0.08751205967996402,-0.08751141926706643,-0.5060101031102693,0.020400247229687363,0.02042869766101485,2.8450431327486925e-05,2.9042913952386138e-05,2.9043757467735128e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,30,-0.08474748950692813,-0.08478781604604903,-0.4197388918803089,0.018223068781200502,0.01824257548770747,1.950670650696651e-05,1.986877658935259e-05,1.9869171365479463e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,31,-0.08679379102897028,-0.0866992867077025,-0.9688989163821843,0.01972566775039608,0.01983146246092027,0.00010579471052418743,0.00010792357510922695,0.00010793522386446663,7896,15792
foreground_psnr,U2-OS,RandomGamma,32,-0.09205131734656727,-0.09186845569416782,-1.8802536566382435,0.022605165322048926,0.022996203405993287,0.0003910380839443617,0.0004000820037822357,0.00040024213345698725,7896,15792
foreground_psnr,U2-OS,RandomGamma,33,-0.09214109921323732,-0.09203598192199486,-1.0271059651336127,0.021963051991755966,0.022081106029991027,0.00011805403823506033,0.00012070509041143632,0.00012071966188913907,7896,15792
foreground_psnr,U2-OS,RandomGamma,34,-0.0858568480319239,-0.08584052190416841,-0.5948283947759716,0.019318214884925022,0.019358113157781354,3.9898272856331296e-05,4.0684219348123776e-05,4.068587462117123e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,35,-0.09193152180023528,-0.09192777167093558,-1.7998083951191584,0.022281103160203486,0.022642337923916123,0.00036123476371263674,0.0003694668936851147,0.0003696034499236533,7896,15792
foreground_psnr,U2-OS,RandomGamma,36,-0.09273403526056812,-0.0927553836328818,-0.7853943550989726,0.022525135217155157,0.022593822130079766,6.868691292460927e-05,7.026974851150644e-05,7.027468669606729e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,37,-0.08492760191509949,-0.08493774582055377,-0.1647962356091588,0.018903928264921932,0.018906960211729773,3.031946807841024e-06,3.0903668816846814e-06,3.090376432081659e-06,7896,15792
