metric_name,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
ssim,RandomGamma,186,-0.0012960324866761882,-0.0012961960432288427,,0.09682793489358932,0.09851480823755665,0.0016868733439673322,0.0018677209018511736,0.0018712158107327536,74340,148680
ssim,RandomGamma,187,-0.0012946117642559708,-0.0012946218972978007,,0.09665738736362028,0.09810275133564395,0.001445363972023661,0.0016000174815238787,0.0016025816401637099,74340,148680
ssim,RandomGamma,188,-0.0013063079971007566,-0.0013063798381604654,,0.0981369128854025,0.10022875235488216,0.0020918394694796616,0.002319464561048008,0.0023248569844329056,74340,148680
ssim,RandomGamma,189,-0.001299080990397323,-0.0012994543669502098,,0.0982385047473826,0.09987894420271437,0.0016404394553317658,0.0018191500346465969,0.0018224653725922902,74340,148680
ssim,RandomGamma,190,-0.001333794160502145,-0.00133361720576929,,0.1024580281446591,0.10419091499521216,0.0017328868505530615,0.001930702858353186,0.0019344376827165129,74340,148680
ssim,RandomGamma,191,-0.0013114178731354108,-0.001311709945145987,,0.10007429454593764,0.10172710684267805,0.0016528122967404135,0.0018366097186950318,0.0018399890604858125,74340,148680
ssim,RandomGamma,192,-0.00131820314268481,-0.001318134131672527,,0.10106701395457962,0.102875069776729,0.0018080558221493792,0.002011335494655019,0.0020153891183242465,74340,148680
ssim,RandomGamma,193,-0.0012961307374942056,-0.001296870861463995,,0.09635809478366608,0.09803425034030722,0.0016761555566411346,0.0018548891402284616,0.0018583361477678502,74340,148680
ssim,RandomGamma,194,-0.0013449958274601005,-0.0013446938358288446,,0.10380754882316967,0.10610332844058801,0.0022957796174183365,0.0025617038108317535,0.002568282991157496,74340,148680
ssim,RandomGamma,195,-0.001305493068692909,-0.0013047951142680445,,0.09870892347780791,0.10085194961291843,0.002143026135110526,0.002377729227476446,0.0023833962985160867,74340,148680
ssim,RandomGamma,196,-0.001305975035307658,-0.0013060704740133783,,0.09916524101502067,0.10077453261903357,0.001609291604012908,0.0017864448368157845,0.0017896419334074692,74340,148680
ssim,RandomGamma,197,-0.0013270174303654431,-0.001326095865201416,,0.10118695656797927,0.1030858632122772,0.0018989066442979263,0.002112682563046878,0.0021171554404291323,74340,148680
ssim,RandomGamma,198,-0.0013316954053600998,-0.0013319151928964954,,0.10245989364315,0.10410223108588068,0.0016423374427306792,0.001829820674417537,0.0018331750560348962,74340,148680
ssim,RandomGamma,199,-0.001304601883984199,-0.0013049896303654286,,0.0983951796225665,0.09981454822586489,0.0014193686032983877,0.0015742690935305844,0.0015767513244087847,74340,148680
ssim,RandomGamma,200,-0.0013207001978310332,-0.00132035233150191,,0.1009221313204286,0.10240995463382274,0.0014878233133941432,0.0016548325403440655,0.0016575755503027852,74340,148680
ssim,RandomGamma,201,-0.0012956677829201332,-0.0012953980187773028,,0.09718422684276451,0.0987044564689713,0.0015202296262067927,0.001683875793275521,0.0016867160135408527,74340,148680
ssim,RandomGamma,202,-0.0013060800992416642,-0.0013058863838205676,,0.0980690033578896,0.10016495542755954,0.0020959520696699485,0.0023238496930177354,0.002329262549077367,74340,148680
ssim,RandomGamma,203,-0.0012969247258783876,-0.0012975372851720007,,0.09784460771652537,0.099399949771099,0.0015553420545736385,0.0017240289953118408,0.0017270064044281642,74340,148680
ssim,RandomGamma,204,-0.00132050436857924,-0.0013199157448920437,,0.10021349323615336,0.1019359222951508,0.0017224290589974434,0.001914264157163565,0.0019179355925240823,74340,148680
ssim,RandomGamma,205,-0.0012939506776036569,-0.001294524654085011,,0.09622407696943436,0.09812144584108295,0.001897368871648597,0.0020993797503326807,0.0021037964179313083,74340,148680
ssim,RandomGamma,206,-0.0013153143282328174,-0.0013152471503902615,,0.10053936929619867,0.10215637790722853,0.0016170086110298687,0.0017977536268203394,0.0018009913655796822,74340,148680
ssim,RandomGamma,207,-0.0013155649371901085,-0.001315045461504087,,0.10000416042532345,0.10185708620461409,0.0018529257792906373,0.0020588159387117835,0.002063063406535732,74340,148680
ssim,RandomGamma,208,-0.0013075023980025878,-0.0013080897978053555,,0.09831486559187586,0.10036464550758972,0.0020497799157138674,0.0022732768208043766,0.0022784563828868068,74340,148680
ssim,RandomGamma,209,-0.0012995175449017201,-0.001298946348188824,,0.09766638753015688,0.09910758360712446,0.001441196076967577,0.0015971876222395994,0.0015997427114971708,74340,148680
ssim,RandomGamma,210,-0.0012869742776926195,-0.0012872644179115857,,0.09553354324897456,0.0970167934248839,0.0014832501759093342,0.001639917284757451,0.0016426110309792873,74340,148680
ssim,RandomGamma,211,-0.0013265212286134676,-0.0013277046133656804,,0.10154621441276468,0.10340801232966235,0.0018617979168976673,0.002072224466927683,0.002076527498015318,74340,148680
ssim,RandomGamma,212,-0.001311054201470271,-0.0013112414767186087,,0.09868431283373635,0.10035424948905058,0.0016699366553142303,0.0018527766453999162,0.0018562157986805339,74340,148680
ssim,RandomGamma,213,-0.0012948433340822822,-0.001293422293493365,,0.09685498098356948,0.09890756115011634,0.002052580166546858,0.002272702747984171,0.002277879691418435,74340,148680
ssim,RandomGamma,214,-0.0013034098071111702,-0.0013037092489395481,,0.09847059390218982,0.10016680851135329,0.0016962146091634711,0.001881485615100882,0.0018850322762125767,74340,148680
ssim,RandomGamma,215,-0.0013063579697434405,-0.0013058666263113352,,0.0982228055518497,0.10043687490191922,0.002214069350069514,0.002455228812283761,0.0024612717977163757,74340,148680
ssim,RandomGamma,216,-0.0013186774085837403,-0.0013185871162304367,,0.09980240070385493,0.10123869899239513,0.0014362982885401943,0.0015955366795725968,0.0015980864851768257,74340,148680
ssim,RandomGamma,217,-0.0012843063128366308,-0.0012838752464296296,,0.09576340648015957,0.09741127435653019,0.0016478678763706123,0.001822385743045529,0.0018257128961984552,74340,148680
ssim,RandomGamma,218,-0.0013180585890057636,-0.0013188086188295508,,0.0998168523084183,0.10116270105516512,0.0013458487467468139,0.0014950832507785682,0.0014973218716298664,74340,148680
ssim,RandomGamma,219,-0.001321202757528524,-0.0013214355186704657,,0.10102992753485163,0.10289141410049207,0.0018614865656404467,0.0020706880269505453,0.0020749846728687605,74340,148680
ssim,RandomGamma,220,-0.0013137072374141176,-0.0013147699080168248,,0.10027209277344618,0.10165027282941785,0.0013781800559716784,0.001531774267422661,0.0015341241993943235,74340,148680
ssim,RandomGamma,221,-0.0013002194124187736,-0.0013007861252643165,,0.09722133077839679,0.09920605383257386,0.0019847230541770733,0.002198460289151878,0.002203304165865456,74340,148680
ssim,RandomGamma,222,-0.0012946043982202944,-0.0012949026270585452,,0.09724373225214311,0.09909254873544093,0.0018488164832978216,0.0020479685927965252,0.002052171375320217,74340,148680
ssim,RandomGamma,223,-0.0013249059829338501,-0.0013242972929888531,,0.10210315588248386,0.1037973236482077,0.0016941677657238419,0.0018868178196894412,0.0018903846310974629,74340,148680
ssim,RandomGamma,224,-0.0013184345968538132,-0.0013180542870385177,,0.1009269974228354,0.10245787155274877,0.0015308741299133732,0.0017027250573926373,0.0017056292750979689,74340,148680
ssim,RandomGamma,225,-0.0013170269681521446,-0.0013166767702118731,,0.09953142915281465,0.10124799926175876,0.0017165701089441043,0.00190630763195778,0.0019099485815153696,74340,148680
ssim,RandomGamma,226,-0.0013164489610991794,-0.0013162103195048101,,0.10061777423510854,0.10233885361471173,0.0017210793796031965,0.0019136239635372846,0.0019172929412547906,74340,148680
ssim,RandomGamma,227,-0.0013201167159994848,-0.0013190705587914327,,0.10091663154176722,0.10258492728369073,0.001668295741923509,0.0018555517768995525,0.001859001249972197,74340,148680
ssim,RandomGamma,228,-0.0013155938670039945,-0.0013147849693568882,,0.09965598321684954,0.10140606041014799,0.0017500771932984494,0.0019437872198577167,0.0019475728871454915,74340,148680
ssim,RandomGamma,229,-0.0013180045203019545,-0.0013187641309941609,,0.10071672597968606,0.10241562731634801,0.001698901336661951,0.0018891726175078115,0.0018927483458546332,74340,148680
ssim,RandomGamma,230,-0.0013067158977896878,-0.0013066175824473225,,0.09970243270904044,0.10099605321754368,0.0012936205085032348,0.001436881044115007,0.0014389486421423564,74340,148680
ssim,RandomGamma,231,-0.0013116971171132032,-0.0013101906646666387,,0.0994512576465526,0.10066827404427448,0.0012170163977218706,0.001351416464745021,0.0013532452626738366,74340,148680
ssim,RandomGamma,232,-0.00128393613228019,-0.0012849654707344606,,0.09603416366581186,0.09773215888105191,0.0016979952152400557,0.0018783842784654994,0.0018819192459905096,74340,148680
ssim,RandomGamma,233,-0.0012930089042227934,-0.001294550922036496,,0.09661911291045744,0.097990029179154,0.0013709162686965648,0.0015175395985112096,0.0015198460250378445,74340,148680
ssim,RandomGamma,234,-0.0012835544231000879,-0.0012846753365999988,,0.09465455338226858,0.09618321162956411,0.0015286582472955335,0.001688480626932436,0.0016913364157039776,74340,148680
ssim,RandomGamma,235,-0.0012903722134945364,-0.0012898360998143202,,0.09651819744726231,0.09834059023674968,0.0018223927894873704,0.0020170774711104314,0.0020211542959063422,74340,148680
ssim,RandomGamma,236,-0.0013026933021411348,-0.0013022246224283368,,0.09763369252696141,0.09939082184239378,0.0017571293154323708,0.0019472461470253547,0.001951045312492778,74340,148680
ssim,RandomGamma,237,-0.0012969953089870137,-0.0012973936873502438,,0.09598123219659849,0.09761004974986454,0.0016288175532660487,0.0018017519229426777,0.0018050040925373261,74340,148680
ssim,RandomGamma,238,-0.0013345262219352225,-0.0013332338374058583,,0.10348294741866315,0.10491069412832155,0.0014277467096583951,0.0015925483018393142,0.0015950885574127051,74340,148680
ssim,RandomGamma,239,-0.001324885910548205,-0.0013246782844425601,,0.101949316412555,0.10352895354516367,0.001579637132608669,0.0017589621181496005,0.0017620615176089237,74340,148680
ssim,RandomGamma,240,-0.0012843292877246944,-0.0012849164394579298,,0.09485481941369,0.09646990052980386,0.001615081116113859,0.0017843337740225122,0.0017875233122403955,74340,148680
ssim,RandomGamma,241,-0.0012967476850622819,-0.0012957272303120188,,0.0970421772003155,0.09843233427390385,0.0013901570735883606,0.0015395592556893525,0.0015419331531469343,74340,148680
ssim,RandomGamma,242,-0.0013025651108724337,-0.0013021570738264445,,0.09741489928602798,0.0993678206180646,0.0019529213320366168,0.002163697728326999,0.0021683894676923733,74340,148680
ssim,RandomGamma,243,-0.0013472891745165698,-0.0013472140942935675,,0.10426671146203537,0.1057017171732405,0.0014350057112051395,0.001602045753538296,0.0016046164224639624,74340,148680
ssim,RandomGamma,244,-0.0012950522442845122,-0.00129545068749138,,0.09667407849090792,0.0980630355427613,0.001388957051853379,0.0015376034483024618,0.001539971313504393,74340,148680
ssim,RandomGamma,245,-0.001300177260177298,-0.0012998825733673953,,0.09663818574682514,0.09842389010382901,0.00178570435700387,0.001976732167365457,0.0019806473767472817,74340,148680
